Work Item ID,Parent ID,Work Type,Summary,Description,Epic Name,Labels,Story Points,Priority
1,,Epic,"Shop Admin Onboarding & Operations","As a shop/seller admin I want to onboard with valid business data get approved manage multiple stores products and orders and handle shipping refunds and returns so that I can sell and fulfill orders on the platform in a controlled auditable way. Covers: Onboarding (registration KYC approval) Stores (multi-store) Products (catalog CRUD bulk import inventory) Orders (unified list filters status) Fulfillment (shipping refunds returns) Supporting (payouts tax analytics notifications).",,shop-admin onboarding multi-store orders fulfillment,,
2,1,Story,"Shop admin can register with valid business and contact data","As a shop/seller admin I want to register with my business name type address contact details and tax ID so that the platform can verify my business and consider me for approval. Acceptance: Registration accepts business name type address phone tax ID and user details (name email password). Email unique; password policy. On success status PENDING_APPROVAL; email verification. Clear validation errors. No seller dashboard access until APPROVED.",Shop Admin Onboarding & Operations,shop-admin onboarding registration,5,Medium
3,1,Story,"Shop admin can upload KYC documents during onboarding","As a shop/seller admin I want to upload ID proof business registration and address proof so that the platform can verify my identity and business before approval. Acceptance: Upload ID proof business cert address proof. File type/size enforced. Stored securely linked to shop. Admin can list and re-upload if rejected. Platform can view and mark verified/rejected with reason.",Shop Admin Onboarding & Operations,shop-admin onboarding kyc documents,5,Medium
4,1,Story,"Platform can approve or reject shop admin after review","As platform/super-admin I want to review pending shop admins (business + KYC) and approve or reject so that only verified sellers can add stores and sell. Acceptance: List PENDING_APPROVAL with filters. View shop profile and documents. Approve or Reject with reason. On Approve status APPROVED; admin can access store management. On Reject status REJECTED; notify admin; reapply possible. Welcome email on approval.",Shop Admin Onboarding & Operations,shop-admin onboarding approval platform-admin,5,Medium
5,1,Story,"Approved shop admin can add and manage multiple stores","As approved shop admin I want to create multiple stores (name address contact logo business hours) so that I can sell from different locations or brands under one account. Acceptance: Only APPROVED can create. Create: name address phone logo business hours timezone currency. List edit deactivate. Unique store identifier. Default shipping origin.",Shop Admin Onboarding & Operations,shop-admin multi-store stores,8,Medium
6,1,Story,"Platform or shop defines categories for products","As shop admin I want to assign my products to categories (platform or custom) so that products are organized and discoverable. Acceptance: Categories at platform or store level. Name optional parent tree optional image isActive. Browse/select when creating product. Product can belong to one or more categories.",Shop Admin Onboarding & Operations,products catalog categories,5,Medium
7,1,Story,"Shop admin can create edit and manage products per store","As shop admin I want to add and manage products for each store (name SKU description images price tax inventory) so that customers can browse and buy. Acceptance: Product linked to one store. Fields: name SKU unique per store description images price tax inventory weight. Status: DRAFT ACTIVE OUT_OF_STOCK DISCONTINUED. Only ACTIVE visible. CRUD and list with filters. Low stock threshold.",Shop Admin Onboarding & Operations,products store-level inventory,13,Medium
8,1,Story,"Shop admin can bulk import products via CSV/Excel","As shop admin I want to upload CSV/Excel to create/update many products so that I can onboard catalog quickly. Acceptance: Validate headers and required fields. Create and update by SKU+store; error report with row and message. Optional async job and notification with error report. Limit file size and row count.",Shop Admin Onboarding & Operations,products bulk-import csv,8,Medium
9,1,Story,"Shop admin gets alerts when product or store inventory is low","As shop admin I want to set low-stock threshold per product or store and receive notifications when stock falls below so that I can restock in time. Acceptance: Configurable threshold. When quantity <= threshold flag product and trigger notification. Email or in-app per preferences. List filter by low stock.",Shop Admin Onboarding & Operations,products inventory notifications,5,Medium
10,1,Story,"Single screen listing all orders across stores with filters","As shop admin I want to see all orders from all my stores on one screen with filters (store date range status payment status) so that I can manage fulfillment in one place. Acceptance: One list/API for all stores. Columns: order ID date store customer items total order status payment status. Filters pagination sort. Expand for details. Later: user access and data filtering.",Shop Admin Onboarding & Operations,orders dashboard multi-store,8,Medium
11,1,Story,"Shop admin can update order status through fulfillment lifecycle","As shop admin I want to update order status (confirmed to processing to shipped to delivered) and optionally add tracking so that customers and platform can track fulfillment. Acceptance: Statuses PLACED CONFIRMED PROCESSING SHIPPED DELIVERED CANCELLED RETURNED. Valid transitions. Set status; when SHIPPED add carrier and tracking. Read via API/notifications. Optional webhook on status change.",Shop Admin Onboarding & Operations,orders fulfillment status,5,Medium
12,1,Story,"Shop admin can export filtered orders for reporting","As shop admin I want to export current order list (with filters) to CSV or Excel so that I can use for accounting or reports. Acceptance: Export uses same filters. Format CSV or Excel; columns align with list. Limit size or async job with download link.",Shop Admin Onboarding & Operations,orders export reporting,3,Medium
13,1,Story,"Shop admin can manage shipping: carriers tracking and optional labels","As shop admin I want to select carrier add tracking when I ship and optionally generate labels so that orders are fulfilled and customers can track. Acceptance: Master carriers or add per store. When SHIPPED select carrier and tracking (and URL). Optional carrier API for labels. Optional expected delivery date.",Shop Admin Onboarding & Operations,shipping tracking carriers,8,Medium
14,1,Story,"Shop admin can process full or partial refunds with reason and approval","As shop admin I want to initiate full or partial refunds with reason and optional approval workflow so that payments are reversed and disputes documented. Acceptance: Refund linked to order and optionally line items. Full or partial; amount currency reason. Status PENDING APPROVED PROCESSING COMPLETED FAILED. Order reflects refunded. Audit who when amount reason.",Shop Admin Onboarding & Operations,refunds payments orders,8,Medium
15,1,Story,"Customers can request returns; shop admin can approve receive and complete returns","As shop admin I want to see return requests approve or reject mark return received and process refund/replacement so that returns are handled in a clear workflow. Acceptance: Return linked to order/line items reason photos status REQUESTED. List with filters. Approve with instructions or Reject. Mark return received; process refund/replacement; COMPLETED. Status flow REQUESTED to APPROVED/REJECTED to RETURN_RECEIVED to REFUNDED/REPLACED to COMPLETED.",Shop Admin Onboarding & Operations,returns fulfillment orders,13,Medium
